vote_count;id;video;vote_average;title;popularity;poster_path;original_language;original_title;backdrop_path;adult;overview;release_date
3307;313369;false;7.8;La La Land;13.735498;/ylXCdC106IKiarftHkcacasaAcb.jpg;en;La La Land;/fp6X6yhgcxzxCpmM0EVC6V9B8XB.jpg;false;Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.;2016-11-29
4806;240832;false;6.2;Lucy;13.381281;/rwn876MeqienhOVSSjtUPnwxn0Z.jpg;en;Lucy;/eCgIoGvfNXrbSiQGqQHccuHjQHm.jpg;false;A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.;2014-07-14
1112;47971;false;5.4;xXx: Return of Xander Cage;13.328947;/yNsdyNbQqaKN0TQxkHMws2KLTJ6.jpg;en;xXx: Return of Xander Cage;/zv4acOMTPoplVLKo4FaoqAseSDx.jpg;false;Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.;2017-01-13
7934;550;false;8.2;Fight Club;12.902071;/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg;en;Fight Club;/87hTDiay2N2qWyX4Ds7ybXi9h8I.jpg;false;"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.";1999-10-15
10435;24428;false;7.4;The Avengers;12.864273;/cezWGskPY5x7GaglTTRN4Fugfb8.jpg;en;The Avengers;/hbn46fQaRmlpBuUrEiFqv0GDL6Y.jpg;false;When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!;2012-04-25
271;339846;false;5.5;Baywatch;12.742543;/6HE4xd8zloDqmjMZuhUCCw2UcY1.jpg;en;Baywatch;/tryI7qZHaLMVzMNpLyKHKDiZOLc.jpg;false;Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.;2017-05-12
4311;329865;false;7;Arrival;12.707972;/hLudzvGfpi6JlwUnsNhXwKKg4j.jpg;en;Arrival;/yIZ1xendyqKvY3FGeeUYUd5X9Mm.jpg;false;Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.;2016-11-10
10418;155;false;8.2;The Dark Knight;12.693908;/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg;en;The Dark Knight;/nnMC0BM6XbjIIrT4miYmMtPGcQV.jpg;false;Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.;2008-07-16
3793;246655;false;6.3;X-Men: Apocalypse;12.685011;/zSouWWrySXshPCT4t3UKCQGayyo.jpg;en;X-Men: Apocalypse;/oQWWth5AOtbWG9o8SCAviGcADed.jpg;false;After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.;2016-05-18
3398;228150;false;7.4;Fury;12.561185;/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg;en;Fury;/pKawqrtCBMmxarft7o1LbEynys7.jpg;false;"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.";2014-10-15
5006;210577;false;7.9;Gone Girl;12.322319;/gdiLTof3rbPDAmPaCf4g6op46bj.jpg;en;Gone Girl;/bt6DhdALyhf90gReozoQ0y3R3vZ.jpg;false;With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.;2014-10-01
941;311324;false;5.9;The Great Wall;12.125498;/hm0Z5tpRlSzPO97U5e2Q32Y0Xrb.jpg;en;The Great Wall;/rym1ecQJVj1NhZnigRePtiusorF.jpg;false;European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.;2016-12-16
3961;76338;false;6.8;Thor: The Dark World;12.014976;/bnX5PqAdQZRXSw3aX3DutDcdso5.jpg;en;Thor: The Dark World;/3FweBee0xZoY77uO1bhUOlQorNH.jpg;false;Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.;2013-10-29
4630;205596;false;8;The Imitation Game;11.99248;/noUp0XOqIcmgefRnRZa1nhtRvWO.jpg;en;The Imitation Game;/qcb6z1HpokTOKdjqDTsnjJk0Xvg.jpg;false;Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.;2014-11-14
6007;297761;false;5.9;Suicide Squad;11.614691;/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg;en;Suicide Squad;/ndlQ2Cuc3cjTL7lTynw6I4boP4S.jpg;false;From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.;2016-08-02
10167;19995;false;7.2;Avatar;11.55602;/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg;en;Avatar;/xSxlmtLz2NYtO07N4WexY1y53pl.jpg;false;In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.;2009-12-10
428;180863;false;7.2;T2 Trainspotting;11.526596;/A84pxL5z86KbV9u8GAK2mVOoXK.jpg;en;T2 Trainspotting;/kR48L1E3OLOkQcnlmpi5wDj7ZZt.jpg;false;After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie.;2017-01-27
12030;27205;false;8;Inception;11.356055;/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg;en;Inception;/s2bT29y0ngXxxu2IA8AOzzXTRhd.jpg;false;"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.";2010-07-14
2251;324786;false;7.6;Hacksaw Ridge;11.305966;/bndiUFfJxNd2fYx8XO610L9a07m.jpg;en;Hacksaw Ridge;/zBK4QZONMQXhcgaJv1YYTdCW7q9.jpg;false;WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to win the Congressional Medal of Honor.;2016-10-07
